date,user_id,product,quantities,price
2024-02-12,1,хлеб,6,4629
2024-07-01,2,курица,3,1520
2024-01-05,3,лук,2,1213
2024-09-11,4,хлеб,7,2542
2024-08-16,5,курица,2,130
2024-10-17,6,молоко,6,4593
2024-10-03,7,яйцо,2,4257
2024-09-22,8,курица,6,3605
2024-09-09,9,лук,3,2084
2024-06-03,10,лук,5,3018
2024-02-08,11,лук,7,2350
2024-03-03,12,кефир,2,2303
2024-12-26,13,молоко,6,2700
2024-08-08,14,говядина,3,4003
2024-01-23,15,говядина,3,2572
2024-11-16,16,молоко,8,2662
2024-09-26,17,хлеб,2,1151
2024-08-21,18,кефир,4,3011
2024-02-14,19,лук,5,207
2024-08-02,20,молоко,3,1007
2024-03-22,21,молоко,5,4002
2024-04-14,22,яйцо,1,582
2024-11-09,23,кефир,3,4875
2024-01-18,24,курица,9,2965
2024-07-02,25,помидор,1,3220
2024-11-28,26,молоко,9,3496
2024-04-10,27,яйцо,4,3918
2024-10-17,28,хлеб,7,1025
2024-05-09,29,лук,10,767
2024-02-07,30,молоко,6,2733
2024-10-08,31,хлеб,3,1460
2024-11-14,32,курица,9,3085
2024-10-01,33,курица,3,2213
2024-01-11,34,яйцо,5,105
2024-03-18,35,курица,8,222
2024-09-02,36,молоко,5,2891
2024-01-20,37,хлеб,8,3603
2024-02-07,38,молоко,3,205
2024-12-05,39,помидор,7,1817
2024-05-20,40,помидор,6,3160
2024-01-22,41,свинина,1,4347
2024-10-07,42,курица,10,3851
2024-04-08,43,яйцо,8,3855
2024-03-03,44,помидор,8,4390
2024-02-06,45,яйцо,7,2290
2024-01-05,46,яйцо,2,4315
2024-02-19,47,молоко,6,3650
2024-03-13,48,помидор,10,1369
2024-01-21,49,хлеб,5,1784
2024-06-14,50,говядина,8,2412
2024-05-25,51,свинина,4,4545
2024-07-12,52,кефир,2,587
2024-08-26,53,свинина,4,1346
2024-06-21,54,хлеб,3,2062
2024-01-02,55,курица,2,4001
2024-11-18,56,свинина,1,450
2024-12-05,57,свинина,10,1206
2024-09-17,58,молоко,1,285
2024-06-24,59,молоко,6,1875
2024-11-27,60,кефир,9,2927
2024-05-04,61,свинина,8,2740
2024-03-07,62,помидор,6,4019
2024-11-19,63,молоко,10,537
2024-05-01,64,помидор,9,1141
2024-07-05,65,яйцо,4,1155
2024-02-13,66,лук,10,4986
2024-09-22,67,лук,2,1695
2024-09-05,68,говядина,5,4699
2024-12-11,69,яйцо,8,1833
2024-01-23,70,кефир,3,1243
2024-05-11,71,говядина,2,3707
2024-11-21,72,кефир,8,3680
2024-06-07,73,кефир,5,2735
2024-11-04,74,курица,5,2822
2024-07-12,75,хлеб,7,3438
2024-06-02,76,говядина,8,4317
2024-05-15,77,свинина,7,4628
2024-09-25,78,помидор,9,2104
2024-05-21,79,яйцо,1,1561
2024-12-21,80,лук,2,2925
2024-09-09,81,свинина,1,4724
2024-09-07,82,молоко,6,1071
2024-02-20,83,кефир,5,2780
2024-02-03,84,курица,2,1424
2024-10-18,85,лук,2,3183
2024-10-16,86,помидор,2,2186
2024-01-07,87,свинина,3,4582
2024-05-25,88,лук,8,868
2024-07-07,89,хлеб,1,2279
2024-08-23,90,молоко,6,718
2024-05-17,91,яйцо,1,4689
2024-05-18,92,яйцо,5,2342
2024-05-11,93,кефир,1,5000
2024-02-14,94,курица,3,4140
2024-06-24,95,говядина,4,2314
2024-08-06,96,помидор,8,948
2024-11-17,97,говядина,8,1912
2024-04-21,98,яйцо,5,4263
2024-08-19,99,кефир,9,2448
2024-06-23,100,яйцо,5,966
2024-06-07,101,яйцо,8,3943
2024-08-13,102,свинина,1,147
2024-12-12,103,курица,9,3283
2024-12-10,104,кефир,9,1248
2024-08-21,105,кефир,6,167
2024-11-16,106,кефир,10,2111
2024-03-24,107,молоко,3,2951
2024-08-26,108,свинина,8,3678
2024-08-12,109,курица,10,2856
2024-12-27,110,лук,9,2239
2024-02-04,111,молоко,5,3350
2024-03-24,112,хлеб,3,973
2024-07-10,113,помидор,9,4044
2024-02-04,114,помидор,7,913
2024-06-16,115,кефир,9,1589
2024-04-12,116,кефир,8,1518
2024-11-04,117,молоко,4,418
2024-03-19,118,хлеб,7,1565
2024-06-15,119,курица,2,3096
2024-05-18,120,курица,8,4061
2024-12-19,121,помидор,8,4425
2024-01-14,122,помидор,9,1270
2024-10-05,123,курица,4,1931
2024-01-24,124,хлеб,2,1853
2024-03-16,125,лук,2,1079
2024-08-02,126,помидор,2,2552
2024-01-08,127,молоко,4,4955
2024-11-20,128,лук,5,2636
2024-04-01,129,молоко,3,1422
2024-12-15,130,свинина,10,4814
2024-03-07,131,говядина,9,1365
2024-06-20,132,кефир,3,281
2024-09-07,133,молоко,9,2093
2024-02-03,134,молоко,10,2707
2024-10-25,135,говядина,10,4041
2024-01-12,136,молоко,4,1803
2024-07-21,137,хлеб,1,2560
2024-05-05,138,курица,9,3192
2024-02-22,139,молоко,10,4063
2024-07-18,140,лук,8,1073
2024-11-24,141,свинина,10,4948
2024-06-22,142,молоко,2,2182
2024-12-05,143,хлеб,4,2413
2024-12-11,144,яйцо,5,4247
2024-06-07,145,помидор,10,2451
2024-04-07,146,помидор,5,358
2024-03-18,147,молоко,1,367
2024-01-10,148,кефир,10,4253
2024-07-17,149,кефир,5,1011
2024-07-21,150,курица,8,3448
2024-10-22,151,говядина,4,4224
2024-10-07,152,яйцо,4,1345
2024-03-11,153,говядина,1,2324
2024-09-06,154,помидор,10,3220
2024-02-07,155,помидор,10,1316
2024-08-09,156,говядина,5,3913
2024-07-14,157,курица,9,4963
2024-02-13,158,яйцо,3,292
2024-10-09,159,хлеб,1,2314
2024-08-13,160,хлеб,3,4698
2024-04-26,161,молоко,9,1606
2024-07-18,162,говядина,4,4417
2024-01-21,163,молоко,5,3472
2024-10-17,164,кефир,2,2567
2024-09-21,165,хлеб,3,1979
2024-11-27,166,лук,9,2825
2024-05-02,167,кефир,5,2478
2024-06-03,168,хлеб,7,601
2024-07-25,169,говядина,9,3393
2024-12-11,170,молоко,2,4610
2024-12-13,171,кефир,8,1705
2024-11-23,172,говядина,4,618
2024-10-09,173,молоко,5,2125
2024-05-22,174,молоко,7,3699
2024-01-03,175,кефир,6,468
2024-03-13,176,говядина,5,2099
2024-04-16,177,молоко,7,343
2024-12-27,178,курица,2,3278
2024-08-25,179,курица,3,2609
2024-02-01,180,курица,3,1053
2024-08-03,181,яйцо,4,2951
2024-08-13,182,хлеб,4,4185
2024-02-17,183,молоко,3,1930
2024-04-28,184,лук,4,3972
2024-11-17,185,молоко,8,1214
2024-11-17,186,кефир,7,1627
2024-09-23,187,лук,7,4639
2024-06-27,188,кефир,1,3676
2024-11-07,189,лук,9,1672
2024-08-01,190,хлеб,1,1627
2024-12-08,191,курица,1,1548
2024-01-01,192,яйцо,8,3917
2024-10-03,193,яйцо,6,4243
2024-11-19,194,лук,8,622
2024-08-18,195,курица,6,1447
2024-12-23,196,помидор,1,1922
2024-02-18,197,лук,9,2936
2024-03-08,198,свинина,2,3113
2024-07-20,199,молоко,2,3736
2024-09-21,200,яйцо,9,891
2024-09-16,201,курица,5,4574
2024-12-19,202,говядина,2,1934
2024-06-07,203,говядина,5,3808
2024-12-01,204,помидор,3,514
2024-12-11,205,свинина,1,1146
2024-01-11,206,яйцо,5,4330
2024-07-02,207,кефир,3,852
2024-09-02,208,помидор,2,1976
2024-11-18,209,лук,5,3157
2024-06-03,210,кефир,3,3636
2024-10-12,211,говядина,4,2990
2024-01-12,212,молоко,10,389
2024-02-23,213,хлеб,6,4969
2024-02-20,214,лук,7,4616
2024-01-10,215,курица,10,3540
2024-03-24,216,хлеб,8,3475
2024-09-07,217,курица,10,1961
2024-03-22,218,свинина,5,1677
2024-03-22,219,говядина,4,1734
2024-10-26,220,хлеб,7,2626
2024-04-18,221,молоко,7,158
2024-01-22,222,курица,10,3725
2024-07-17,223,хлеб,10,2441
2024-06-18,224,молоко,7,4479
2024-05-24,225,хлеб,7,452
2024-10-05,226,свинина,6,2928
2024-10-10,227,говядина,2,1449
2024-03-04,228,молоко,1,1536
2024-08-24,229,помидор,4,4466
2024-04-08,230,свинина,2,591
2024-12-25,231,помидор,6,998
2024-03-09,232,помидор,4,3005
2024-02-07,233,молоко,4,2533
2024-06-25,234,лук,8,3414
2024-02-12,235,кефир,3,4062
2024-02-09,236,свинина,2,2300
2024-04-21,237,помидор,1,3250
2024-06-24,238,кефир,4,3322
2024-01-14,239,лук,5,3824
2024-02-24,240,хлеб,10,2217
2024-08-05,241,яйцо,3,945
2024-11-13,242,говядина,5,591
2024-02-24,243,лук,1,3186
2024-04-22,244,помидор,4,4115
2024-01-02,245,свинина,3,4741
2024-12-12,246,свинина,4,1353
2024-05-25,247,молоко,10,2788
2024-11-06,248,говядина,10,929
2024-02-06,249,яйцо,10,841
2024-08-22,250,молоко,4,3565
2024-10-26,251,молоко,7,141
2024-06-21,252,говядина,4,1998
2024-07-16,253,курица,2,1974
2024-02-25,254,лук,6,722
2024-10-13,255,молоко,1,1869
2024-08-21,256,говядина,9,1176
2024-10-04,257,кефир,6,564
2024-02-09,258,лук,8,3361
2024-01-28,259,курица,8,4803
2024-05-18,260,помидор,9,4937
2024-09-01,261,помидор,7,2620
2024-04-14,262,свинина,3,4743
2024-07-03,263,курица,9,3248
2024-03-25,264,кефир,2,3496
2024-10-20,265,лук,9,4039
2024-02-01,266,яйцо,9,1110
2024-04-18,267,свинина,4,3304
2024-06-10,268,помидор,2,1734
2024-02-05,269,курица,7,2360
2024-02-08,270,кефир,1,3515
2024-10-27,271,хлеб,4,2071
2024-01-03,272,кефир,8,1749
2024-04-25,273,свинина,3,914
